"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Plaza de la Misericordia, Ciudad de Buenos Aires","lunes",6,0,-34.6325454,-58.4558067,2021-03-25
"2","Plaza de la Misericordia, Ciudad de Buenos Aires","lunes",7,0,-34.6325454,-58.4558067,2021-03-25
"3","Plaza de la Misericordia, Ciudad de Buenos Aires","lunes",8,12,-34.6325454,-58.4558067,2021-03-25
"4","Plaza de la Misericordia, Ciudad de Buenos Aires","lunes",9,18.75,-34.6325454,-58.4558067,2021-03-25
"5","Plaza de la Misericordia, Ciudad de Buenos Aires","lunes",10,24,-34.6325454,-58.4558067,2021-03-25
"6","Plaza de la Misericordia, Ciudad de Buenos Aires","lunes",11,27,-34.6325454,-58.4558067,2021-03-25
"7","Plaza de la Misericordia, Ciudad de Buenos Aires","lunes",12,25.5,-34.6325454,-58.4558067,2021-03-25
"8","Plaza de la Misericordia, Ciudad de Buenos Aires","lunes",13,21,-34.6325454,-58.4558067,2021-03-25
"9","Plaza de la Misericordia, Ciudad de Buenos Aires","lunes",14,17.25,-34.6325454,-58.4558067,2021-03-25
"10","Plaza de la Misericordia, Ciudad de Buenos Aires","lunes",15,17.25,-34.6325454,-58.4558067,2021-03-25
"11","Plaza de la Misericordia, Ciudad de Buenos Aires","lunes",16,26.25,-34.6325454,-58.4558067,2021-03-25
"12","Plaza de la Misericordia, Ciudad de Buenos Aires","lunes",17,42,-34.6325454,-58.4558067,2021-03-25
"13","Plaza de la Misericordia, Ciudad de Buenos Aires","lunes",18,56.25,-34.6325454,-58.4558067,2021-03-25
"14","Plaza de la Misericordia, Ciudad de Buenos Aires","lunes",19,55.5,-34.6325454,-58.4558067,2021-03-25
"15","Plaza de la Misericordia, Ciudad de Buenos Aires","lunes",20,40.5,-34.6325454,-58.4558067,2021-03-25
"16","Plaza de la Misericordia, Ciudad de Buenos Aires","lunes",21,21.75,-34.6325454,-58.4558067,2021-03-25
"17","Plaza de la Misericordia, Ciudad de Buenos Aires","lunes",22,8.25,-34.6325454,-58.4558067,2021-03-25
"18","Plaza de la Misericordia, Ciudad de Buenos Aires","lunes",23,0,-34.6325454,-58.4558067,2021-03-25
"19","Plaza de la Misericordia, Ciudad de Buenos Aires","martes",6,0,-34.6325454,-58.4558067,2021-03-25
"20","Plaza de la Misericordia, Ciudad de Buenos Aires","martes",7,0,-34.6325454,-58.4558067,2021-03-25
"21","Plaza de la Misericordia, Ciudad de Buenos Aires","martes",8,10.5,-34.6325454,-58.4558067,2021-03-25
"22","Plaza de la Misericordia, Ciudad de Buenos Aires","martes",9,17.25,-34.6325454,-58.4558067,2021-03-25
"23","Plaza de la Misericordia, Ciudad de Buenos Aires","martes",10,23.25,-34.6325454,-58.4558067,2021-03-25
"24","Plaza de la Misericordia, Ciudad de Buenos Aires","martes",11,26.25,-34.6325454,-58.4558067,2021-03-25
"25","Plaza de la Misericordia, Ciudad de Buenos Aires","martes",12,24.75,-34.6325454,-58.4558067,2021-03-25
"26","Plaza de la Misericordia, Ciudad de Buenos Aires","martes",13,21.75,-34.6325454,-58.4558067,2021-03-25
"27","Plaza de la Misericordia, Ciudad de Buenos Aires","martes",14,18.75,-34.6325454,-58.4558067,2021-03-25
"28","Plaza de la Misericordia, Ciudad de Buenos Aires","martes",15,21.75,-34.6325454,-58.4558067,2021-03-25
"29","Plaza de la Misericordia, Ciudad de Buenos Aires","martes",16,33.75,-34.6325454,-58.4558067,2021-03-25
"30","Plaza de la Misericordia, Ciudad de Buenos Aires","martes",17,49.5,-34.6325454,-58.4558067,2021-03-25
"31","Plaza de la Misericordia, Ciudad de Buenos Aires","martes",18,60,-34.6325454,-58.4558067,2021-03-25
"32","Plaza de la Misericordia, Ciudad de Buenos Aires","martes",19,55.5,-34.6325454,-58.4558067,2021-03-25
"33","Plaza de la Misericordia, Ciudad de Buenos Aires","martes",20,39,-34.6325454,-58.4558067,2021-03-25
"34","Plaza de la Misericordia, Ciudad de Buenos Aires","martes",21,21,-34.6325454,-58.4558067,2021-03-25
"35","Plaza de la Misericordia, Ciudad de Buenos Aires","martes",22,9,-34.6325454,-58.4558067,2021-03-25
"36","Plaza de la Misericordia, Ciudad de Buenos Aires","martes",23,0,-34.6325454,-58.4558067,2021-03-25
"37","Plaza de la Misericordia, Ciudad de Buenos Aires","miercoles",6,0,-34.6325454,-58.4558067,2021-03-25
"38","Plaza de la Misericordia, Ciudad de Buenos Aires","miercoles",7,0,-34.6325454,-58.4558067,2021-03-25
"39","Plaza de la Misericordia, Ciudad de Buenos Aires","miercoles",8,13.5,-34.6325454,-58.4558067,2021-03-25
"40","Plaza de la Misericordia, Ciudad de Buenos Aires","miercoles",9,21,-34.6325454,-58.4558067,2021-03-25
"41","Plaza de la Misericordia, Ciudad de Buenos Aires","miercoles",10,26.25,-34.6325454,-58.4558067,2021-03-25
"42","Plaza de la Misericordia, Ciudad de Buenos Aires","miercoles",11,27,-34.6325454,-58.4558067,2021-03-25
"43","Plaza de la Misericordia, Ciudad de Buenos Aires","miercoles",12,24,-34.6325454,-58.4558067,2021-03-25
"44","Plaza de la Misericordia, Ciudad de Buenos Aires","miercoles",13,18.75,-34.6325454,-58.4558067,2021-03-25
"45","Plaza de la Misericordia, Ciudad de Buenos Aires","miercoles",14,15.75,-34.6325454,-58.4558067,2021-03-25
"46","Plaza de la Misericordia, Ciudad de Buenos Aires","miercoles",15,19.5,-34.6325454,-58.4558067,2021-03-25
"47","Plaza de la Misericordia, Ciudad de Buenos Aires","miercoles",16,32.25,-34.6325454,-58.4558067,2021-03-25
"48","Plaza de la Misericordia, Ciudad de Buenos Aires","miercoles",17,49.5,-34.6325454,-58.4558067,2021-03-25
"49","Plaza de la Misericordia, Ciudad de Buenos Aires","miercoles",18,61.5,-34.6325454,-58.4558067,2021-03-25
"50","Plaza de la Misericordia, Ciudad de Buenos Aires","miercoles",19,59.25,-34.6325454,-58.4558067,2021-03-25
"51","Plaza de la Misericordia, Ciudad de Buenos Aires","miercoles",20,44.25,-34.6325454,-58.4558067,2021-03-25
