"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Natacha cafe, Ciudad de Buenos Aires","lunes",6,0,-34.5964571,-58.3800717,2021-03-26
"2","Natacha cafe, Ciudad de Buenos Aires","lunes",7,11.25,-34.5964571,-58.3800717,2021-03-26
"3","Natacha cafe, Ciudad de Buenos Aires","lunes",8,19.5,-34.5964571,-58.3800717,2021-03-26
"4","Natacha cafe, Ciudad de Buenos Aires","lunes",9,24,-34.5964571,-58.3800717,2021-03-26
"5","Natacha cafe, Ciudad de Buenos Aires","lunes",10,22.5,-34.5964571,-58.3800717,2021-03-26
"6","Natacha cafe, Ciudad de Buenos Aires","lunes",11,21,-34.5964571,-58.3800717,2021-03-26
"7","Natacha cafe, Ciudad de Buenos Aires","lunes",12,24.75,-34.5964571,-58.3800717,2021-03-26
"8","Natacha cafe, Ciudad de Buenos Aires","lunes",13,32.25,-34.5964571,-58.3800717,2021-03-26
"9","Natacha cafe, Ciudad de Buenos Aires","lunes",14,35.25,-34.5964571,-58.3800717,2021-03-26
"10","Natacha cafe, Ciudad de Buenos Aires","lunes",15,30.75,-34.5964571,-58.3800717,2021-03-26
"11","Natacha cafe, Ciudad de Buenos Aires","lunes",16,24,-34.5964571,-58.3800717,2021-03-26
"12","Natacha cafe, Ciudad de Buenos Aires","lunes",17,22.5,-34.5964571,-58.3800717,2021-03-26
"13","Natacha cafe, Ciudad de Buenos Aires","lunes",18,27,-34.5964571,-58.3800717,2021-03-26
"14","Natacha cafe, Ciudad de Buenos Aires","lunes",19,34.5,-34.5964571,-58.3800717,2021-03-26
"15","Natacha cafe, Ciudad de Buenos Aires","lunes",20,39,-34.5964571,-58.3800717,2021-03-26
"16","Natacha cafe, Ciudad de Buenos Aires","lunes",21,39,-34.5964571,-58.3800717,2021-03-26
"17","Natacha cafe, Ciudad de Buenos Aires","lunes",22,33,-34.5964571,-58.3800717,2021-03-26
"18","Natacha cafe, Ciudad de Buenos Aires","lunes",23,23.25,-34.5964571,-58.3800717,2021-03-26
"19","Natacha cafe, Ciudad de Buenos Aires","martes",6,0,-34.5964571,-58.3800717,2021-03-26
"20","Natacha cafe, Ciudad de Buenos Aires","martes",7,13.5,-34.5964571,-58.3800717,2021-03-26
"21","Natacha cafe, Ciudad de Buenos Aires","martes",8,29.25,-34.5964571,-58.3800717,2021-03-26
"22","Natacha cafe, Ciudad de Buenos Aires","martes",9,39.75,-34.5964571,-58.3800717,2021-03-26
"23","Natacha cafe, Ciudad de Buenos Aires","martes",10,38.25,-34.5964571,-58.3800717,2021-03-26
"24","Natacha cafe, Ciudad de Buenos Aires","martes",11,30,-34.5964571,-58.3800717,2021-03-26
"25","Natacha cafe, Ciudad de Buenos Aires","martes",12,27.75,-34.5964571,-58.3800717,2021-03-26
"26","Natacha cafe, Ciudad de Buenos Aires","martes",13,35.25,-34.5964571,-58.3800717,2021-03-26
"27","Natacha cafe, Ciudad de Buenos Aires","martes",14,42,-34.5964571,-58.3800717,2021-03-26
"28","Natacha cafe, Ciudad de Buenos Aires","martes",15,39.75,-34.5964571,-58.3800717,2021-03-26
"29","Natacha cafe, Ciudad de Buenos Aires","martes",16,33,-34.5964571,-58.3800717,2021-03-26
"30","Natacha cafe, Ciudad de Buenos Aires","martes",17,28.5,-34.5964571,-58.3800717,2021-03-26
"31","Natacha cafe, Ciudad de Buenos Aires","martes",18,28.5,-34.5964571,-58.3800717,2021-03-26
"32","Natacha cafe, Ciudad de Buenos Aires","martes",19,31.5,-34.5964571,-58.3800717,2021-03-26
"33","Natacha cafe, Ciudad de Buenos Aires","martes",20,32.25,-34.5964571,-58.3800717,2021-03-26
"34","Natacha cafe, Ciudad de Buenos Aires","martes",21,30,-34.5964571,-58.3800717,2021-03-26
"35","Natacha cafe, Ciudad de Buenos Aires","martes",22,24,-34.5964571,-58.3800717,2021-03-26
"36","Natacha cafe, Ciudad de Buenos Aires","martes",23,16.5,-34.5964571,-58.3800717,2021-03-26
"37","Natacha cafe, Ciudad de Buenos Aires","miercoles",6,0,-34.5964571,-58.3800717,2021-03-26
"38","Natacha cafe, Ciudad de Buenos Aires","miercoles",7,15.75,-34.5964571,-58.3800717,2021-03-26
"39","Natacha cafe, Ciudad de Buenos Aires","miercoles",8,30.75,-34.5964571,-58.3800717,2021-03-26
"40","Natacha cafe, Ciudad de Buenos Aires","miercoles",9,37.5,-34.5964571,-58.3800717,2021-03-26
"41","Natacha cafe, Ciudad de Buenos Aires","miercoles",10,35.25,-34.5964571,-58.3800717,2021-03-26
